COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Pop_Total,Pop_Households,Pop_GroupQuarters,Pop_Hispanic,Pop_White,Pop_Black,Pop_Asian,Pop_Other,Housing_Units,HU_Occupied,HU_Vacant,Ave_Household_size
1,Rogers Park,55628,52242,3386,12587,22292,13819,3820,3110,28531,26402,2129,1.978713734
2,West Ridge,77122,75531,1591,15307,28212,10484,19815,3304,28249,26493,1756,2.850979504
3,Uptown,57182,55082,2100,7587,29871,10800,6182,2742,35019,32215,2804,1.709824616
4,Lincoln Square,40494,39969,525,7069,25342,1601,4516,1966,20431,19143,1288,2.087917254
5,North Center,35114,35058,56,4503,25799,780,2162,1870,15936,14931,1005,2.348000804
6,Lake View,103050,102745,305,9340,77133,3917,7717,4943,61920,57721,4199,1.780028066
7,Lincoln Park,70492,67694,2798,4928,54378,2895,5169,3122,38649,35570,3079,1.903120607
8,Near North Side,105481,103776,1705,6587,73970,8576,12313,4035,77429,66685,10744,1.556212042
9,Edison Park,11525,11524,1,1239,9538,62,308,378,4960,4733,227,2.434819353
10,Norwood Park,38303,37893,410,6247,28208,363,2222,1263,16035,15323,712,2.472949161
11,Jefferson Park,26216,26204,12,6325,15767,431,2731,962,11183,10585,598,2.475578649
12,Forest Glen,19596,19555,41,2647,13388,208,2476,877,7271,7021,250,2.785215781
13,North Park,17559,17362,197,3352,7973,743,4735,756,7098,6658,440,2.607689997
14,Albany Park,48396,47068,1328,22688,14608,2168,7035,1897,18254,17161,1093,2.74273061
15,Portage Park,63020,62914,106,27634,28496,1378,3527,1985,25130,23436,1694,2.684502475
16,Irving Park,51940,51602,338,21468,22165,1945,4203,2159,22878,21342,1536,2.417861494
17,Dunning,43147,42961,186,15040,24110,816,2141,1040,16390,15746,644,2.72837546
18,Montclare,14401,14280,121,8841,3883,881,476,320,5248,5010,238,2.850299401
19,Belmont Cragin,78116,77901,215,63967,8867,2633,1638,1011,24881,23450,1431,3.322004264
20,Hermosa,24062,24017,45,20448,2141,842,290,341,8127,7544,583,3.183589608
21,Avondale,36257,36109,148,18968,13291,1103,1617,1278,15937,14578,1359,2.476951571
22,Logan Square,71665,71314,351,26051,36391,3091,3098,3034,34725,32097,2628,2.221827585
23,Humboldt Park,54165,53814,351,31734,4775,16146,429,1081,21206,19072,2134,2.821623322
24,West Town,87781,87279,502,18627,54446,5659,5102,3947,46174,42920,3254,2.033527493
25,Austin,96557,95481,1076,18590,3794,72013,369,1791,39477,35864,3613,2.662307607
26,West Garfield Park,17433,17045,388,1157,231,15604,21,420,7751,6573,1178,2.593184239
27,East Garfield Park,19992,19579,413,1664,1035,16681,96,516,8986,7828,1158,2.501149719
28,Near West Side,67881,63759,4122,6616,29142,16361,12743,3019,37435,33918,3517,1.879798337
29,North Lawndale,34794,34207,587,4047,835,29111,105,696,15193,12838,2355,2.664511606
30,South Lawndale,71399,66262,5137,61970,2328,6246,206,649,22065,20069,1996,3.301709104
31,Lower West Side,33751,33465,286,23974,6377,1544,980,876,15649,13730,1919,2.437363438
32,The Loop,42298,38805,3493,3502,24092,3808,8749,2147,28477,24134,4343,1.607897572
33,Near South Side,28795,28457,338,2101,12781,6570,5781,1562,17500,15774,1726,1.80404463
34,Armour Square,13890,13817,73,602,1535,1521,10033,199,6078,5648,430,2.446352691
35,Douglas,20291,18484,1807,881,1847,14264,2539,760,11068,9878,1190,1.871228994
36,Oakland,6799,6799,0,204,179,6149,59,208,3442,3217,225,2.113459745
37,Fuller Park,2567,2561,6,399,71,1998,15,84,1465,1140,325,2.246491228
38,Grand Boulevard,24589,24368,221,754,633,22262,85,855,12730,11278,1452,2.160666785
39,Kenwood,19116,18954,162,763,3121,12965,1364,903,11234,10097,1137,1.877191245
40,Washington Park,12707,12647,60,380,110,11924,16,277,5986,5168,818,2.447174923
41,Hyde Park,29456,26555,2901,2450,12022,8369,4796,1819,16719,14818,1901,1.792077203
42,Woodlawn,24425,22993,1432,980,1846,19923,740,936,12335,10517,1818,2.186269849
43,South Shore,53971,53042,929,1352,948,49811,148,1712,30225,25748,4477,2.060043499
44,Chatham,31710,31708,2,476,168,30275,39,752,17159,15053,2106,2.106423969
45,Avalon Park,9458,9457,1,193,46,8922,17,280,4569,4145,424,2.281544029
46,South Chicago,27300,27142,158,5741,549,20228,44,738,13679,11017,2662,2.463647091
47,Burnside,2527,2527,0,65,4,2386,4,68,1192,1036,156,2.439189189
48,Calumet Heights,13088,13087,1,612,104,12067,19,286,6022,5518,504,2.371692642
49,Roseland,38816,38257,559,926,257,36626,47,960,17381,15080,2301,2.53693634
50,Pullman,6820,6819,1,493,444,5704,8,171,3501,2995,506,2.276794658
51,South Deering,14105,14053,52,4713,487,8590,17,298,5918,5311,607,2.646017699
52,East Side,21724,21715,9,17834,2627,910,63,290,7687,7004,683,3.100371216
53,West Pullman,26104,26087,17,1598,210,23645,25,626,10944,9650,1294,2.703316062
54,Riverdale,7262,7248,14,206,41,6830,6,179,2799,2523,276,2.872770511
55,Hegewisch,10027,10026,1,5795,3112,874,45,201,4054,3677,377,2.726679358
56,Garfield Ridge,35439,35149,290,19088,13604,1751,451,545,12772,12236,536,2.872589081
57,Archer Heights,14196,14168,28,11664,1662,124,611,135,4405,4163,242,3.403314917
58,Brighton Park,45053,45038,15,36756,2474,591,4895,337,14825,13592,1233,3.313566804
59,McKinley Park,15923,15890,33,8908,2173,255,4294,293,5992,5538,454,2.869266883
60,Bridgeport,33702,33665,37,7400,10350,900,14176,876,14614,13339,1275,2.523802384
61,New City,43628,43320,308,29493,4168,8142,1214,611,15959,13813,2146,3.136176066
62,West Elsdon,18394,18379,15,15545,1939,279,487,144,5532,5258,274,3.495435527
63,Gage Park,39540,39508,32,36132,1393,1398,231,386,10890,10353,537,3.816091954
64,Clearing,24473,24471,2,14471,8761,557,277,407,9272,8884,388,2.754502476
