Community Area,Community Area Name,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease)
1,Rogers Park,16.4,62,11,73,11.2,40.8,7.7,23.3,176.9,25.3,77.1,5.2,6.4,36.7,21.7,33.7
2,West Ridge,17.3,83.3,8.1,71.1,8.3,29.9,5.8,20.2,155.9,17.3,60.5,3.7,5.1,36,14.2,34.7
3,Uptown,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80,4.6,6.5,50.5,25.2,41.7
4,Lincoln Square,17.1,61,8.1,80.5,9.7,38.4,5,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9
5,North Center,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6
6,Lake View,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13,38.5,1.8,2.2,32.5,17,24.4
7,Lincoln Park,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40,27.3,35.3
8,Near North Side,10.7,35.9,8.6,69.7,9.6,34,3.7,24,142.7,15.1,27,3.2,6.5,33.6,15.1,22
9,Edison Park,11.3,59.5,7.9,86.6,12.6,3.9,0,13.8,189.7,15.1,53,7.1,4.6,45.2,28,38.9
10,Norwood Park,10.4,59.6,4.9,89.4,8.3,3.4,4.7,20.7,180.8,18.9,47.3,8.7,4.4,44.5,26.4,45.2
11,Jefferson Park,13.8,67.8,6.6,82.9,7.7,28.6,4.8,18.4,208.2,23.2,49.2,4.2,8.3,55.7,32.1,41.9
12,Forest Glen,10,60.6,7.6,79.3,10.3,6.3,3.3,25,138.7,14.3,37.2,6.2,3.8,27,20.3,31
13,North Park,10.9,54.2,9.7,79.1,10.2,10.5,3,20.4,143.7,21.9,58.9,3.1,5.4,34.7,14.6,26.7
14,Albany Park,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1
15,Portage Park,14.2,66.1,6.9,79.8,8.7,41.7,3.3,23.3,168.7,15.9,48.2,4.7,4.7,44.9,14.8,37.9
16,Irving Park,15.8,67.1,7.7,79.9,10.2,37,4.1,29.9,169.4,19.2,60.2,5.7,5.3,41.3,17.9,42
17,Dunning,12.5,64.7,6.8,82.7,9.9,19.9,3.7,23.7,191.5,25.9,42.5,5.2,4.9,53.9,24.4,32
18,Montclaire,17.1,83.5,8.3,77.6,8.8,61.5,8.6,29.9,151,15.4,89.6,6.5,4.6,33.4,21.9,40.3
19,Belmont Cragin,20,88.6,6.9,74.1,7.6,68.2,7,14.4,152.6,17.7,58.6,5.5,5.6,37.8,27.3,38.2
20,Hermosa,20.3,86.7,6.7,77.5,8.8,69.7,12.7,18.4,135.2,15.6,63.6,11.8,9.3,27.7,25.6,27.6
21,Avondale,18.5,77.7,7.3,74.4,7.5,63.4,4.7,16.6,133.9,13.4,52.7,4.6,5.7,32.5,37.7,36
22,Logan Square,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9
23,Humboldt Park,19.2,80.7,12.3,70.9,11.7,77.9,29,26.3,211.1,26.6,94.1,22.7,9.8,48,52.5,53.5
24,West Town,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107,6.6,5.1,27.4,16.6,33.3
25,Austin,18,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8
26,West Garfield Park,20.1,88.4,17,71.4,17.5,114.9,40,54.7,291.5,31.4,118.2,36,19,65.3,75,77
27,East Garfield Park,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11,56.3,78.1,47.5
28,Near West Side,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5
29,North Lawndale,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2
30,South Lawndale,19.5,94.9,7.6,85.1,9.6,77.5,11.1,13.2,127.4,9.2,65,8.6,5.9,15.9,32.7,37.3
31,Lower West Side,16.5,68.2,4.5,80.8,8.8,49,11.7,27.2,141.3,11.9,61.9,11.7,5.4,27.8,14.3,39.2
32,Loop,9.4,27.7,5.3,78.2,6.9,1.3,0.7,20.2,120.1,10.8,26.8,4,5.7,29.2,17.2,39
33,Near South Side,21.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169,19.2,61.5,6.6,4.8,46.2,51.4,52.4
34,Armour Square,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7
35,Douglas,10.3,42.2,11.7,76,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1
36,Oakland,17.5,63.9,13.5,75,11.5,54.5,18.9,20.6,159.7,14.5,88.7,12.6,8.2,54.5,54.2,43.7
37,Fuller Park,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4
38,Grand Boulevard,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39,46.7
39,Kenwood,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5
40,Washington Park,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26,258,31.9,88.2,39.5,19.3,79.8,67,43.3
41,Hyde Park,9.7,33.9,5.9,80.3,5.5,7.6,5.8,33.6,144,11.7,34,5,10.4,34.9,24.1,26
42,Woodlawn,15.1,60.1,17.4,73.3,16.3,51.1,31.1,32.9,241.3,23.9,82.1,25,11.5,69.8,58,60
43,South Shore,15.7,67.9,13.8,71.9,13.4,65.9,33.4,32.4,246,25.1,95.4,30,11.4,70,54.8,53.2
