ORG_LEVEL,CITY,AREA,DISTRICT,SECTOR,SAFETY,TRUST,START_DATE,END_DATE
Other,chicago,SOUTH,,,65.88,61.73,12/10/2017,12/16/2017
Other,chicago,area_4,15,,53.27,53.39,05/01/2018,05/31/2018
Other,chicago,area_5,16,1610,70.71,76.84,11/01/2019,11/30/2019
Other,chicago,area_1,2,210,65.02,51.92,05/01/2018,05/31/2018
Other,chicago,area_4,15,1530,50.14,48.71,02/01/2019,02/28/2019
Other,chicago,area_5,17,,61.28,65.09,01/01/2021,01/31/2021
Other,chicago,area_5,16,1610,68.28,68.72,06/01/2018,06/30/2018
Other,chicago,area_4,11,1110,40.96,49.16,10/01/2020,10/31/2020
Other,chicago,area_4,10,1020,41.41,54.69,06/01/2018,06/30/2018
Other,chicago,,,,61.95,63.51,08/05/2018,08/11/2018
Other,chicago,,,,61.95,63.51,08/05/2018,08/11/2018
Other,chicago,area_5,16,1630,60.34,72.82,02/01/2021,02/28/2021
Other,chicago,area_4,15,1510,58.8,60.05,12/01/2017,12/31/2017
Other,chicago,area_3,1,,59.2,70.64,11/01/2019,11/30/2019
Other,chicago,area_5,25,2520,60.99,66.31,07/01/2019,07/31/2019
Other,chicago,area_1,8,820,45.7,59.35,02/01/2021,02/28/2021
Other,chicago,area_1,,,50.93,53.95,09/01/2020,09/30/2020
Other,chicago,area_3,12,1230,62.71,62.79,04/01/2019,04/30/2019
Other,chicago,area_4,11,1120,46.86,44.41,03/01/2019,03/31/2019
Other,chicago,area_3,12,1220,61.7,60,02/01/2018,02/28/2018
Other,chicago,area_3,18,1820,65.55,72.73,11/01/2017,11/30/2017
Other,chicago,area_3,12,1210,67.31,62.22,07/01/2018,07/31/2018
Other,chicago,area_1,8,830,54.24,54.07,03/01/2019,03/31/2019
Other,chicago,area_5,14,1410,72.04,68.37,01/01/2019,01/31/2019
Other,chicago,area_3,19,1910,70.7,77.93,06/01/2020,06/30/2020
Other,chicago,area_4,11,1130,57.21,39.5,12/01/2017,12/31/2017
Other,chicago,area_2,,,52.63,56.73,11/01/2020,11/30/2020
Other,chicago,area_3,24,2430,68.31,63.34,07/01/2019,07/31/2019
Other,chicago,area_4,15,1510,56.52,53.58,09/01/2018,09/30/2018
Other,chicago,area_5,16,1630,63.96,72.73,10/01/2019,10/31/2019
Other,chicago,area_5,14,,60.22,61.87,03/01/2021,03/31/2021
Other,chicago,,,,58.56,58.77,08/26/2018,09/01/2018
Other,chicago,,,,58.56,58.77,08/26/2018,09/01/2018
Other,chicago,CENTRAL,,,53.95,54.3,11/19/2017,11/25/2017
Other,chicago,area_4,15,1520,58.44,52.95,03/01/2018,03/31/2018
Other,chicago,area_1,,,51.24,59.18,07/01/2020,07/31/2020
Other,chicago,area_4,11,1110,61.59,60.23,11/01/2017,11/30/2017
Other,chicago,area_3,18,1830,70.23,70.73,05/01/2019,05/31/2019
Other,chicago,area_2,6,610,50.81,40.97,11/01/2018,11/30/2018
Other,chicago,area_4,10,1010,51.58,48.11,05/01/2020,05/31/2020
Other,chicago,area_3,19,1910,65.61,59.19,10/01/2020,10/31/2020
Other,chicago,area_1,7,720,54.24,58.89,03/01/2020,03/31/2020
Other,chicago,area_4,15,1530,62.34,58.84,12/01/2017,12/31/2017
Other,chicago,area_2,4,,54.17,54.57,11/01/2017,11/30/2017
Other,chicago,area_5,17,1730,62.37,77.68,05/01/2020,05/31/2020
Other,chicago,area_5,25,,52.62,70.3,09/01/2020,09/30/2020
Other,chicago,area_3,12,1230,62.94,63.39,08/01/2018,08/31/2018
Other,chicago,area_5,17,1710,65.76,62.71,12/01/2017,12/31/2017
Other,chicago,area_3,20,2010,64.08,68.66,02/01/2020,02/29/2020
Other,chicago,NORTH,,,65.48,63.46,11/18/2018,11/24/2018
Other,chicago,area_1,7,,59.55,59.92,12/01/2017,12/31/2017
Other,chicago,area_1,7,710,48.84,45.56,11/01/2017,11/30/2017
Other,chicago,area_4,15,1520,48.42,41.81,02/01/2019,02/28/2019
Other,chicago,area_3,12,1230,54.76,62.57,10/01/2019,10/31/2019
Other,chicago,area_4,15,1520,47.54,61.1,05/01/2020,05/31/2020
Other,chicago,area_4,,,41.89,56.49,08/01/2020,08/31/2020
Other,chicago,area_2,6,610,55.81,51.6,07/01/2020,07/31/2020
Other,chicago,area_5,16,1620,71.58,69.47,07/01/2018,07/31/2018
Other,chicago,area_3,12,1210,57.66,66.11,10/01/2020,10/31/2020
