COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Police District,Safety_Score,Trust_Score
1,Rogers Park,District24,63.229,64.549
2,West Ridge,District24,63.229,64.549
3,Uptown,District19,66.875,67.906
4,Lincoln Square,District20,67.803,66.445
5,North Center,District19,66.875,67.906
6,Lake View,District19,66.875,67.906
7,Lincoln Park,District18,63.383,71.929
8,Near North Side,District18,63.383,71.929
9,Edison Park,District16,68.164,75.265
10,Norwood Park,District16,68.164,75.265
11,Jefferson Park,District16,68.164,75.265
12,Forest Glen,District16,68.164,75.265
13,North Park,District17,64.920,66.818
14,Albany Park,District17,64.920,66.818
15,Portage Park,District16,68.164,75.265
16,Irving Park,District17,64.920,66.818
17,Dunning,District16,68.164,75.265
18,Montclare,District25,58.606,63.085
19,Belmont Cragin,District25,58.606,63.085
20,Hermosa,District25,58.606,63.085
21,Avondale,District17,64.920,66.818
22,Logan Square,District14,62.702,62.399
23,Humboldt Park,District11,49.059,48.822
24,West Town,District14,62.702,62.399
25,Austin,District15,50.633,51.362
26,West Garfield Park,District11,49.059,48.822
27,East Garfield Park,District11,49.059,48.822
28,Near West Side,District12,58.874,61.456
29,North Lawndale,District10,50.318,52.845
30,South Lawndale,District10,50.318,52.845
31,Lower West Side,District10,50.318,52.845
32,The Loop,District01,62.604,70.120
33,Near South Side,District01,62.604,70.120
34,Armour Square,District09,53.706,60.460
35,Douglas,District02,58.109,56.240
36,Oakland,District02,58.109,56.240
37,Fuller Park,District09,53.706,60.460
38,Grand Boulevard,District02,58.109,56.240
39,Kenwood,District02,58.109,56.240
40,Washington Park,District02,58.109,56.240
41,Hyde Park,District02,58.109,56.240
42,Woodlawn,District03,51.982,49.532
43,South Shore,District03,51.982,49.532
44,Chatham,District06,51.663,49.717
45,Avalon Park,District04,53.419,54.895
46,South Chicago,District04,53.419,54.895
47,Burnside,District04,53.419,54.895
48,Calumet Heights,District04,53.419,54.895
49,Roseland,District05,52.174,53.125
50,Pullman,District05,52.174,53.125
51,South Deering,District04,53.419,54.895
52,East Side,District04,53.419,54.895
53,West Pullman,District05,52.174,53.125
54,Riverdale,District05,52.174,53.125
55,Hegewisch,District04,53.419,54.895
56,Garfield Ridge,District08,56.657,64.433
57,Archer Heights,District08,56.657,64.433
58,Brighton Park,District09,53.706,60.460
59,McKinley Park,District09,53.706,60.460
60,Bridgeport,District09,53.706,60.460
61,New City,District09,53.706,60.460
62,West Elsdon,District08,56.657,64.433
63,Gage Park,District08,56.657,64.433
64,Clearing,District08,56.657,64.433
65,West Lawn,District08,56.657,64.433
66,Chicago Lawn,District08,56.657,64.433
67,West Englewood,District07,50.332,47.999
68,Englewood,District07,50.332,47.999
69,Greater Grand Crossing,District03,51.982,49.532
70,Ashburn,District08,56.657,64.433
71,Auburn Gresham,District06,51.663,49.717
72,Beverly,District22,60.433,64.427
73,Washington Heights,District22,60.433,64.427
74,Mount Greenwood,District22,60.433,64.427
75,Morgan Park,District22,60.433,64.427
76,O'Hare,District16,68.164,75.265
77,Edgewater,District20,67.803,66.445
